"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Semantics of Software Modeling","P. C. . -Y. Sheu; H. Yu; C. V. Ramamoorthy; A. K. Joshi; L. A. Zadeh","NA; Panasonic Information and Networking Technologies Laboratory; NA; University of Pennsylvania; University of California, Berkeley",Semantic Computing,"","2010","","","229","247","This chapter contains sections titled:   Introduction   Model-Driven Software Development and Ontology Technologies   Applying Ontology Technologies in Model-Driven Software Development   Architecture   Conclusions   References   ","","9780470588215","10.1002/9780470588222.ch12","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=5559052.pdf&bkn=5558999&pdfType=chapter","","","","","","","","26 Aug 2010","","","IEEE","Wiley-IEEE Press eBook Chapters"
"Rediscovering Zachman Framework Using Ontology from a Requirement Engineering Perspective","Z. Chen; R. Pooley","Department of Computer Science, Heriot-Watt University, UK; Department of Computer Science, Heriot-Watt University, UK",2009 33rd Annual IEEE International Computer Software and Applications Conference,"22 Sep 2009","2009","2","","3","8","An information system distinguishes itself from other software as it is developed to facilitate the operation of an organization, hence it reflects its strategies, plans, organizations, processes, marketing etc. We believe that the requirement in the form of domain knowledge acquired in the early stage of system development can be organized and modeled in Enterprise Architecture. However research in Enterprise Architecture focus on other issues rather than requirement engineering. Hence we propose several new ideas on the extension of Zachman Framework, one of the most widely used Enterprise Architectures. We first partition Zachman Framework from two different perspectives, domain engineering phases and requirement engineering techniques. Then we propose a meta-model for Zachman Framework which is adapted and integrated from the Bunge-Wand- Weber ontology and Enterprise Ontology.","0730-3157","978-0-7695-3726-9","10.1109/COMPSAC.2009.107","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5254160","Requirement Engineering;Zachman Framework;Ontology;Meta-Model;Domain Engineering","Ontologies;Computer architecture;Information systems;Computer science;Software engineering;Embedded software;Context modeling;Computer applications;Application software;Terminology","","9","","27","IEEE","22 Sep 2009","","","IEEE","IEEE Conferences"
"Service Modeling: A Model Based Approach for Business and It Alignment","V. Hrgovcic; W. Utz; D. Karagiannis","BOC Asset Management GmbH, Vienna, Austria; BOC Asset Management GmbH, Vienna, Austria; University of Vienna, Vienna, Austria",2011 IEEE 35th Annual Computer Software and Applications Conference Workshops,"3 Oct 2011","2011","","","422","427","Service modeling became important in the recent years, due to successful uptake of the SOA based environments and business models, pushed forward by overall growth of the service sector as a leading part of the worldwide economy. Service modeling gained importance based on the requirement to better understand, define and control the services as basic building blocks of the SOA based environments. This paper proposes a model driven approach on how the Business and IT alignment in the service life cycle can be supported by introducing knowledge technologies for service models. The model based approach is presented by first introducing the conceptual research challenges for integrated modeling methods, followed by the overview of the prototypic implementation of the service modeling platform and concludes with a demonstration in the HPC-based HLRS use case.","","978-0-7695-4459-5","10.1109/COMPSACW.2011.77","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6032275","Service Modeling;Service Life Cycle;Meta Models;Ontology Based Integration;Model Based Approach","Unified modeling language;Ontologies;Business;Analytical models;Computational modeling;Semantics;Service oriented architecture","","1","","35","IEEE","3 Oct 2011","","","IEEE","IEEE Conferences"
"A Transferability-Based Method for Evaluating the Protein Representation Learning","F. Hu; W. Zhang; H. Huang; W. Li; Y. Li; P. Yin","Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China; Tsinghua Shenzhen International Graduation School, Tsinghua University, Shenzhen, China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, Shenzhen, China",IEEE Journal of Biomedical and Health Informatics,"6 May 2024","2024","28","5","3158","3166","Self-supervised pre-trained language models have recently risen as a powerful approach in learning protein representations, showing exceptional effectiveness in various biological tasks, such as drug discovery. Amidst the evolving trend in protein language model development, there is an observable shift towards employing large-scale multimodal and multitask models. However, the predominant reliance on empirical assessments using specific benchmark datasets for evaluating these models raises concerns about the comprehensiveness and efficiency of current evaluation methods. Addressing this gap, our study introduces a novel quantitative approach for estimating the performance of transferring multi-task pre-trained protein representations to downstream tasks. This transferability-based method is designed to quantify the similarities in latent space distributions between pre-trained features and those fine-tuned for downstream tasks. It encompasses a broad spectrum, covering multiple domains and a variety of heterogeneous tasks. To validate this method, we constructed a diverse set of protein-specific pre-training tasks. The resulting protein representations were then evaluated across several downstream biological tasks. Our experimental results demonstrate a robust correlation between the transferability scores obtained using our method and the actual transfer performance observed. This significant correlation highlights the potential of our method as a more comprehensive and efficient tool for evaluating protein representation learning.","2168-2208","","10.1109/JBHI.2024.3370680","National Key R&D Program of China(grant numbers:2022YFA1008300); Strategic Priority Research Program of Chinese Academy of Sciences(grant numbers:XDB 38050100); Science, Technology and Innovation Commission of Shenzhen Municipality(grant numbers:JCYJ20220818101216035); Shenzhen Medical Research Funds(grant numbers:A2303032); Shenzhen Science and Technology Program(grant numbers:SGDX20201103095603009,JSGG20200225153023511); Basic and Applied Basic Research Foundation of Guangdong Province(grant numbers:2022A1515110647); National Natural Science Foundation of China(grant numbers:U22A2041); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10452779","Transferability;protein representation learning;optimal transport","Task analysis;Proteins;Protein engineering;Biological system modeling;Computational modeling;Predictive models;Biological information theory","Proteins;Computational Biology;Machine Learning;Humans;Databases, Protein;Algorithms","1","","32","IEEE","28 Feb 2024","","","IEEE","IEEE Journals"
"CoMe-KE: A New Transformers Based Approach for Knowledge Extraction in Conflict and Mediation Domain","E. S. Parolin; Y. Hu; L. Khan; J. Osorio; P. T. Brandt; V. D’Orazio","Department of Computer Science, The University of Texas at Dallas, Richardson, Texas; Department of Computer Science, The University of Texas at Dallas, Richardson, Texas; Department of Computer Science, The University of Texas at Dallas, Richardson, Texas; School of Government and Public Policy, University of Arizona, Tucson, Arizona; School of Economic, Political, and Policy Sciences, The University of Texas at Dallas, Richardson, Texas; School of Economic, Political, and Policy Sciences, The University of Texas at Dallas, Richardson, Texas",2021 IEEE International Conference on Big Data (Big Data),"13 Jan 2022","2021","","","1449","1459","Knowledge discovery and extraction approaches attract special attention across industries and areas moving toward the 5V Era. In the political and social sciences, scholars and governments dedicate considerable resources to develop intelligent systems for monitoring, analyzing and predicting conflicts and affairs involving political entities across the globe. Such systems rely on background knowledge from external knowledge bases, that conflict experts commonly maintain manually. The high costs and extensive human efforts associated with updating and extending these repositories often compromise their correctness of. Here we introduce CoMe-KE (Conflict and Mediation Knowledge Extractor) to extend automatically knowledge bases about conflict and mediation events. We explore state-of-the-art natural language models to discover new political entities, their roles and status from news. We propose a distant supervised method and propose an innovative zero-shot approach based on a dynamic hypothesis procedure. Our methods leverage pre-trained models through transfer learning techniques to obtain excellent results with no need for a labeled data. Finally, we demonstrate the superiority of our method through a comprehensive set of experiments involving two study cases in the social sciences domain. CoMe-KE significantly outperforms the existing baseline, with (on average) double of the performance retrieving new political entities.","","978-1-6654-3902-2","10.1109/BigData52589.2021.9672080","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9672080","knowledge base construction;knowledge extraction;ontologies;link and graph mining;transfer-learning;natural language processing;web search and mining;semantic-based data mining;CAMEO","Knowledge based systems;Social sciences;Transfer learning;Natural languages;Big Data;Transformers;Knowledge discovery","","2","","53","IEEE","13 Jan 2022","","","IEEE","IEEE Conferences"
"Reusable Ontology Generation and Matching from Simulation Models","M. -Y. Tu; H. Ehm; A. Ismail; P. Ulrich","Infineon Technologies AG, Neubiberg, Germany; Infineon Technologies AG, Neubiberg, Germany; Infineon Technologies AG, Neubiberg, Germany; Infineon Technologies AG, Neubiberg, Germany",2023 Winter Simulation Conference (WSC),"31 Jan 2024","2023","","","2298","2309","As simulating semiconductor manufacturing grows complex, model reuse becomes appealing since it can reduce the time incurred in developing future models. Also, considering a large network of the semiconductor supply chain, knowledge sharing can enable the efficient development of simulation models in a collaborative organization. Such necessity of reusability and interoperability of simulation models motivates this paper. We will address these challenges through ontological modeling and linking of the simulation components. The first application is generating reusable ontologies from simulation models. Another discussed application is ontology matching for knowledge sharing between simulation components and a meta-model of the semiconductor supply chain. The proposed approach succeeds in automatically transforming simulation into reusable knowledge and identifying interconnection in a semiconductor manufacturing system.","1558-4305","979-8-3503-6966-3","10.1109/WSC60868.2023.10407599","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10407599","","Semiconductor device modeling;Knowledge engineering;Supply chains;Organizations;Ontologies;Semiconductor device manufacture;Interoperability","","","","33","IEEE","31 Jan 2024","","","IEEE","IEEE Conferences"
"Non-Intrusive Annotation-Based Domain-Specific Analysis to Certify Event-B Models Behaviours","I. Mendil; P. Rivière; Y. Ait-Ameur; N. K. Singh; D. Méry; P. Palanque","INPT-ENSEEIHT / IRIT, Universié de Toulouse, France; INPT-ENSEEIHT / IRIT, Universié de Toulouse, France; INPT-ENSEEIHT / IRIT, Universié de Toulouse, France; INPT-ENSEEIHT / IRIT, Universié de Toulouse, France; Telecom Nancy, LORIA, Université de Lorraine, France; IRIT, Université de Toulouse, France",2022 29th Asia-Pacific Software Engineering Conference (APSEC),"16 Feb 2023","2022","","","129","138","System engineering advocates a thorough under-standing of the engineering domain or certification standards (aeronautics, railway, medical, etc.) associated to the system under design. In this context, engineering domain knowledge plays a predominant role in system design and/or certification. Furthermore, it is a prerequisite to achieve the effectiveness and performance of the designed system. This article proposes a formal method for describing and setting up domain-specific behavioural analyses. It defines a formal verification technique for dynamic properties entailed by engineering domain knowledge where Event-B formal models are annotated and analysed in a non-intrusive way, i.e. without destructive alteration. This method is based on the formalisation of behavioural properties analyses relying on domain knowledge as an ontology on the one hand and a meta-theory for Event-B on the other hand. The proposed method is illustrated using a critical interactive system.","2640-0715","978-1-6654-5537-4","10.1109/APSEC57359.2022.00025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10043275","Domain knowledge;formal methods;Event-B;refinement;proof;ontology;behavioural analyses","Knowledge engineering;Analytical models;Interactive systems;Ontologies;Rail transportation;Proposals;Certification","","3","","45","IEEE","16 Feb 2023","","","IEEE","IEEE Conferences"
"An ontology for State Analysis: Formalizing the mapping to SysML","D. A. Wagner; M. B. Bennett; R. Karban; N. Rouquette; S. Jenkins; M. Ingham","Jet Propulsion Laboratory, Pasadena, CA, USA; Jet Propulsion Laboratory, Pasadena, CA, USA; Jet Propulsion Laboratory, Pasadena, CA, USA; Jet Propulsion Laboratory, Pasadena, CA, USA; Jet Propulsion Laboratory, Pasadena, CA, USA; Jet Propulsion Laboratory, Pasadena, CA, USA",2012 IEEE Aerospace Conference,"19 Apr 2012","2012","","","1","16","State Analysis is a methodology developed over the last decade for architecting, designing and documenting complex control systems. Although it was originally conceived for designing robotic spacecraft, recent applications include the design of control systems for large ground-based telescopes. The European Southern Observatory (ESO) began a project to design the European Extremely Large Telescope (E-ELT), which will require coordinated control of over a thousand articulated mirror segments. The designers are using State Analysis as a methodology and the Systems Modeling Language (SysML) as a modeling and documentation language in this task. To effectively apply the State Analysis methodology in this context it became necessary to provide ontological definitions of the concepts and relations in State Analysis and greater flexibility through a mapping of State Analysis into a practical extension of SysML. The ontology provides the formal basis for verifying compliance with State Analysis semantics including architectural constraints. The SysML extension provides the practical basis for applying the State Analysis methodology with SysML tools. This paper will discuss the method used to develop these formalisms (the ontology), the formalisms themselves, the mapping to SysML and approach to using these formalisms to specify a control system and enforce architectural constraints in a SysML model.","1095-323X","978-1-4577-0557-1","10.1109/AERO.2012.6187335","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6187335","","Unified modeling language;Ontologies;Analytical models;Control systems;Software;Databases;Computer architecture","","22","","13","IEEE","19 Apr 2012","","","IEEE","IEEE Conferences"
"Tackling Data Sparsity and Combinatorial Challenges in Rare Disease Matching with Medical Informed Machine Learning","A. Berger; T. A. Lagones; L. Grigull; L. Fendrich; T. Bell; H. Högl; G. Ernst; R. Schmidt; D. Bascom; R. Sifa; M. Lübbering","Department of Media Engineering, Fraunhofer IAIS, Germany; Department of Health Queensland, Australia; University Hospital Bonn - Center for Rare Diseases, Germany; University Hospital Bonn - Center for Rare Diseases, Germany; Department of Media Engineering, Fraunhofer IAIS, Germany; Children’s Network for Chronic Illnesses and Disabilities, Germany; Department of Medical Psychology, Medical School Hannover, Germany; NA; NA; Department of Media Engineering, Fraunhofer IAIS, Germany; Department of Media Engineering, Fraunhofer IAIS, Germany",2024 IEEE International Conference on Big Data (BigData),"16 Jan 2025","2024","","","6430","6438","With over 7,000 known rare diseases and a prevalence of less than one in a thousand, rare diseases pose substantial challenges to advanced medical support networks. This study investigates the efficacy of Unrare.me, a novel social networking platform designed for individuals affected by rare diseases, including patients, their family members, and medical professionals, addressing data sparsity and combinatorial complexities in user matching. We demonstrate that simple matching heuristics already serve as a decent basis for collecting user feedback on match quality. Leveraging over 10,000 user matching feedback scores from more than 2,000 active users, we evaluate algorithms including collaborative filtering and user embedding similarity with state-of-the-art Large Language Models (LLMs). With a top-10 and top-5 hit-rate of 55% and 37%, respectively, we show that a combination of medical data augmentation and embeddings significantly enhances performance beyond the initial heuristic baseline.","2573-2978","979-8-3503-6248-0","10.1109/BigData62323.2024.10825404","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10825404","Large Language Models;Text Matching;Rare Diseases;Recommender Systems","Social networking (online);Large language models;Collaborative filtering;Machine learning;Big Data;Data augmentation;Data models;Complexity theory;Diseases","","1","","16","IEEE","16 Jan 2025","","","IEEE","IEEE Conferences"
"Towards Automating Design and Development of Inference Enterprise Models","J. D. Lee; S. Matsumoto; A. K. Zaidi; K. B. Laskey","Dept. of Systems Engineering and Operations Research, George Mason University, Fairfax, USA; Dept. of Systems Engineering and Operations Research, George Mason University, Fairfax, USA; Dept. of Systems Engineering and Operations Research, George Mason University, Fairfax, USA; Dept. of Systems Engineering and Operations Research, George Mason University, Fairfax, USA",2019 IEEE International Systems Conference (SysCon),"16 Sep 2019","2019","","","1","6","In this paper, a process improvement approach, which provides automated assistance in designing and developing Inference Enterprise Models (IEM), is described. An IEM forecasts and evaluates the performance of the modeled enterprise and can be used to improve the operational quality of an enterprise making mission-focused inferences. As part of developing the IEM methodology, a team of researchers built several Inference Enterprise Models and acquired a breadth of knowledge in the domain of modeling insider threat detection systems. Although there are many different ways this type of inference enterprise can be modeled, there are common elements that are reused from case to case. We propose a solution for formalizing and reusing this IEM domain knowledge by developing an IEM Process Ontology and Workflow Generator.","2472-9647","978-1-5386-8396-5","10.1109/SYSCON.2019.8836882","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8836882","Inference Enterprise Modeling;Ontology;Template;Business Process Improvement;Knowledge Reuse","Ontologies;Unified modeling language;Modeling;Predictive models;Sociology;Statistics;Task analysis","","1","","12","IEEE","16 Sep 2019","","","IEEE","IEEE Conferences"
"Formal Specification and Analysis of Partitioning Operating Systems by Integrating Ontology and Refinement","Y. Zhao; D. Sanán; F. Zhang; Y. Liu","School of Computer Science and Engineering, Nanyang Technological University, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore",IEEE Transactions on Industrial Informatics,"19 May 2017","2016","12","4","1321","1331","Partitioning operating systems (POSs) have been widely applied in safety-critical domains from aerospace to automotive. In order to improve the safety and the certification process of POSs, the ARINC 653 standard has been developed and complied with by the mainstream POSs. Rigorous formalization of ARINC 653 can reveal hidden errors in this standard and provide a necessary foundation for formal verification of POSs and ARINC 653 applications. For the purpose of reusability and efficiency, a novel methodology by integrating ontology and refinement is proposed to formally specify and analyze POSs in this paper. An ontology of POSs is developed as an intermediate model between informal descriptions of ARINC 653 and the formal specification in Event-B. A semiautomatic translation from the ontology and ARINC 653 into Event-B is implemented, which leads to a complete Event-B specification for ARINC 653 compliant POSs. During the formal analysis, six hidden errors in ARINC 653 have been discovered and fixed in the Event-B specification. We also validate the existence of these errors in two open-source POSs, i.e., XtratuM and POK. By introducing the ontology, the degree of automatic verification of the Event-B specification reaches a higher level.","1941-0050","","10.1109/TII.2016.2569414","National Research Foundation, Prime Minister's Office; National Cybersecurity Research and Development (R&D) Program; National Cybersecurity R&D Directorate(grant numbers:NRF2014NCRNCR001-30); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7470454","ARINC 653;Event-B;formal specification;ontology;OWL2;partitioning operating systems (POSs);refinement","Ontologies;Standards;Operating systems;Industries;Safety;Informatics;Computer science","","13","","25","IEEE","17 May 2016","","","IEEE","IEEE Journals"
"A formal description of design patterns using OWL","J. Dietrich; C. Elgar","Massey University, New Zealand; Massey University, New Zealand",2005 Australian Software Engineering Conference,"11 Apr 2005","2005","","","243","250","Design patterns have been used successfully in the last decade to reuse and communicate object-oriented design. However, the documentation of pattern usage is often very poor. This motivates the use of tools which can detect and document design patterns found in software. A couple of approaches have been proposed in recent years. The approach introduced is based on a formal description of design patterns using the Web ontology language OWL. Software artefacts used to define design patterns in a formal and machine processable fashion are represented by uniform resource identifiers (URIs). This yields a description that is open and extensible, and facilitates the sharing of design among software engineers. We discuss the developed software design ontology, and how this approach relates to the meta-modelling architecture of the OMG. In the second part, an effective pattern scanner for the Java language is presented. This scanner is based on the ontology developed in part one and uses reflection and AST analysis to verify constraints. Various applications of this scanner are discussed.","2377-5408","0-7695-2257-2","10.1109/ASWEC.2005.6","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1402019","software design theory;object-oriented programming;semantic web;design patterns;web ontologies;automated pattern detection","OWL;Software design;Ontologies;Documentation;Software tools;Design engineering;Computer architecture;Java;Reflection;Application software","","40","","28","IEEE","11 Apr 2005","","","IEEE","IEEE Conferences"
"NLP4ReF: Requirements Classification and Forecasting: From Model-Based Design to Large Language Models","J. Peer; Y. Mordecai; Y. Reich","Faculty of Engineering, Tel Aviv University, Tel-Aviv, Israel; Faculty of Engineering, Tel Aviv University, Tel-Aviv, Israel; Faculty of Engineering, Tel Aviv University, Tel-Aviv, Israel",2024 IEEE Aerospace Conference,"13 May 2024","2024","","","1","16","We introduce Natural Language Processing for Requirement Forecasting (NLP4ReF), a model-based machine learning and natural language processing solution for enhancing the Requirements Engineering (RE) process. RE continues to face significant challenges and demands innovative approaches for process efficiency. Traditional RE methods relying on natural language struggle with incomplete, hidden, forgotten, and evolving requirements during and after the critical design review, risking project failures and setbacks. NLP4ReF tackles several key challenges: a) distinguishing between functional and non-functional requirements, b) classification of requirements by their respective system classes, and c) generation of unanticipated requirements to enhance project success. NLP4ReF employs a common natural language toolkit (NLTK) package and the recently-trending Chat-GPT. We tested NLP4ReF on PROMISE_exp, a pre-existing dataset with 1000 software requirements, and PROMISE_IoT, an enhanced dataset with 2000 software and IoT requirements. We validated NLP4ReF on a genuine IoT project. NLP4ReF swiftly generated dozens of new requirements, verified by a team of systems engineers, of which over 70% were crucial for project success. We found that GPT is superior in authentic requirement generation, while NLTK excels at requirement classification. NLP4ReF offers significant time saving, effort reduction, and improved future-proofing. Our model-based design approach provides a foundation for enhanced RE practices and future research in this domain.","1095-323X","979-8-3503-0462-6","10.1109/AERO58975.2024.10521022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10521022","Natural Language Processing;Requirements Engineering Requirement Forecasting;Internet of Things;Machine Learning;Model-Based Systems Engineering","Software algorithms;Training data;Software;Natural language processing;Data models;Classification algorithms;Requirements engineering","","2","","38","IEEE","13 May 2024","","","IEEE","IEEE Conferences"
"Exporting Object-Process Methodology system models to the Semantic Web","S. Jacobs; N. Wengrowicz; D. Dori","Faculty of Industrial Engineering and Management Technion, Israel Institute of Technology, Haifa, Israel; Massachusetts Institute of Technology, Cambridge, MA, US; Engineering Systems Division Massachusetts Institute of Technology, Cambridge, MA, USA","2014 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","4 Dec 2014","2014","","","1014","1019","Model-Based Systems Engineering (MBSE) is gradually becoming an acceptable good practice, especially for large-scale complex systems. The variety of modeling languages enables detailed representation of domain-specific knowledge of different aspects of a system. Semantic Web concepts provide opportunities for easier and more efficient collaboration between design and verification teams using different modeling tools. IBM Semantic Mediation Container (SMC) is a tool interoperability platform, allowing mediation and synchronization among models in different languages based on their ontologies. We propose integrating into SMC the ability to translate Object-Process Methodology (OPM), the emerging ISO 19450 Standard, which provides a holistic view of the system's function, structure, and behavior. In this paper we describe the first integration stages - defining the OPM ontology in a way that conforms to Semantic Web specifications and developing a module for exporting OPM models from their visual representation to and back from Resource Description Framework (RDF). We discuss the scope of the ontology and different approaches of element representation. We portray the implementation of the export module as an extension to OPM CASE tool (OPCAT). The ontology and export module are validated by round-trip transformation of OPM models from their visual representation to RDF and back by experimenting with OPM experts.","1062-922X","978-1-4799-3840-7","10.1109/SMC.2014.6974046","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6974046","Conceptual modeling;Ontology design;RDF;Semantic Web;Semantic mediation;Object-Process Methodology","Ontologies;Resource description framework;Mediation;OWL;Data models;Load modeling","","4","","15","IEEE","4 Dec 2014","","","IEEE","IEEE Conferences"
"Semantic methods of intelligent assistant developing","D. Palchunov; A. S. Tregubov","Laboratory of Computability Theory and Applied Logic, Sobolev Institute of Mathematics, Novosibirsk, Russia; Department of General Informatics, Novosibirsk State University, Novosibirsk, Russia","2021 International Symposium on Knowledge, Ontology, and Theory (KNOTH)","31 Jan 2022","2021","","","30","35","Human-computer interaction with people whose visual perception is limited is possible only with tactile and voice interfaces, the latter are being used more and more recently. The aim of the work is to create an intelligent assistant for an indoor navigation system designed for blind and visually impaired people. The development of an intelligent assistant is based on a semantic user model and a four-level ontological model of the subject domain. To build a dialogue between an intelligent assistant and a user, we use the theory of speech acts, argumentation theory and case-based reasoning. The developed software system is aimed at identifying the desires and user needs and proposing possible user actions aimed at achieving them. The system allows for the decomposition of user tasks and the formation of a sequence of their execution based on semantic models of the user and the subject domain.","","978-1-6654-6719-3","10.1109/KNOTH54462.2021.9686335","Sobolev Institute of Mathematics(grant numbers:20-47-540005); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9686335","intelligent assistant;ontology;machine learning;natural language processing;intent recognition;argumentation theory;case-based reasoning","Knowledge engineering;Uncertainty;Web services;Semantics;Speech recognition;Ontologies;Software systems","","2","","27","IEEE","31 Jan 2022","","","IEEE","IEEE Conferences"
"Combination of ELMo Representation and CNN Approaches to Enhance Service Discovery","Z. Huang; W. Zhao","Key Laboratory of Modern Teaching Technology, Ministry of Education, Xi’an, China; School of Computer Science, Shaanxi Normal University, Xi’an, China",IEEE Access,"24 Jul 2020","2020","8","","130782","130796","With the rapid growth of Web services, the demand for discovering the optimal services to satisfy the users' requirements is no longer an easy task. The critical issue in the process of service discovery is to conduct a similarity calculation. To solve such an issue, this study proposes an effective approach that combines the Embeddings from Language Models (ELMo) representation and Convolutional Neural Network (CNN) to obtain a more accurate similarity score for retrieving target Web services. More specifically, first, the study adopts the ELMo model to generate effective word representations for capturing the sufficient information from services and queries. Then, the word representations are used to compose a similarity matrix, which will be taken as the input for the CNN to learn the matching relationships. Finally, the combination of the ELMo representation and CNN is used to address the representation and interaction processes within the matching task to improve the service discovery performance. The results demonstrate the effectiveness of our proposed approach for retrieving better targeted Web services.","2169-3536","","10.1109/ACCESS.2020.3009393","Research Grants funded by the National Natural Science Foundation of China(grant numbers:61771297); Fundamental Research Funds for the Central Universities(grant numbers:GK201802013); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9141288","Service discovery;ELMo;CNN;service similarity;web service","Semantics;Syntactics;Task analysis;Ontologies;Linguistics;Service-oriented architecture","","8","","68","CCBY","15 Jul 2020","","","IEEE","IEEE Journals"
"Resource-Based and Value-Based Extension for Archimate","M. U. Albab; A. A. Arman","School of Electrical Engineering and Informatics Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical Engineering and Informatics Institut Teknologi Bandung, Bandung, Indonesia",2018 International Conference on ICT for Smart Society (ICISS),"29 Nov 2018","2018","","","1","6","The concept of resource and value in the archimate that is too general allows for modeling and communication problems. Therefore, an ontological analysis is needed to evaluate and redesign the concept of resource and value on the archimate. In this paper, Unified foundational ontology (UFO) is used in conducting an ontological analysis on the concept of resource and value. An ontological analysis is done by considering the mapping between the concept on Archimate and ontology concept on UFO. Semantic problems in resource and value concepts are found when the ontological analysis is performed. The result of this study is Archimate extension with the improvement of resource and value concept. The resulting extension was successfully applied in case studies and was able to handle semantic problems that were identified.","","978-1-5386-6589-3","10.1109/ICTSS.2018.8549977","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8549977","resource;value;enterprise architecture modeling;ontology-based semantics;Archimate","Ontologies;Semantics;Business;Analytical models;Electrical engineering;Informatics;Information technology","","1","","14","IEEE","29 Nov 2018","","","IEEE","IEEE Conferences"
